NFORM;nnper;nvj;netp;IDPERVE;BL;EB0P1;EB0P2;EB1P1;EB1P2;EB1P3;EB1P4;EB1P5;EB1P6;EB1P7;EB2P1;EB6P1;EB3P1;EB4P1;EB4P2;EB4P3;EB5BP1L;EB5BP4;EB5P5;INSE;INSE_RecF;EstratoGeografico;wcal0;codsegparadasube;codsegparadabaja
1028;2;2;2;1028020202;51;0;2; ; ; ; ; ; ; ; ; ; ; ; ; ;185;20;3;43;M;Montevideo Bajo;538,1559885;113030;113012
1028;3;1;1;1028030101;51;2;0; ; ; ; ; ; ; ; ; ; ; ; ; ;185;10;8;43;M;Montevideo Bajo;538,1559885;113012;113030
1028;3;1;2;1028030102;51;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ;124;5;8;43;M;Montevideo Bajo;538,1559885;113030;114024
1028;3;1;3;1028030103;51;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ;582;5;8;43;M;Montevideo Bajo;538,1559885;114024;118208
1028;3;2;1;1028030201;51;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ;582;10;8;43;M;Montevideo Bajo;538,1559885;118208;114024
1028;3;2;2;1028030202;51;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ;125;15;8;43;M;Montevideo Bajo;538,1559885;114024;113030
1028;3;2;3;1028030203;51;0;2; ; ; ; ; ; ; ; ; ; ; ; ; ;185;15;8;43;M;Montevideo Bajo;538,1559885;113030;113012
1028;4;1;1;1028040101;51;2;0; ; ; ; ; ; ; ; ; ; ; ; ; ;185;10;10;43;M;Montevideo Bajo;538,1559885;113012;112112
1028;4;1;2;1028040102;51;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ;526;10;10;43;M;Montevideo Bajo;538,1559885;112112;112031
1028;4;2;1;1028040201;51;2;0; ; ; ; ; ; ; ; ; ; ; ; ; ;526;10;10;43;M;Montevideo Bajo;538,1559885;112031;112112
1028;4;2;2;1028040202;51;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ;185;30;10;43;M;Montevideo Bajo;538,1559885;112112;113012
1029;1;1;1;1029010101;51;3;0; ; ; ; ; ; ; ; ; ; ; ; ; ;124;20;3;19;B-;Montevideo Bajo;467,8040856;113152;113030
1029;1;1;2;1029010102;51;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ;370;10;3;19;B-;Montevideo Bajo;467,8040856;113030;123003
1029;1;1;3;1029010103;2; ; ; ; ; ; ; ; ; ;9;2; ; ; ; ; ; ; ;19;B-;Montevideo Bajo;467,8040856; ; 
1029;1;2;1;1029010201;2; ; ; ; ; ; ; ; ; ;9;2; ; ; ; ; ; ; ;19;B-;Montevideo Bajo;467,8040856; ; 
1029;1;2;2;1029010202;51;0;3; ; ; ; ; ; ; ; ; ; ; ; ; ;370;10;3;19;B-;Montevideo Bajo;467,8040856;123003;108006
1029;1;3;1;1029010301;51;3;2; ; ; ; ; ; ; ; ; ; ; ; ; ;124;20;1;19;B-;Montevideo Bajo;467,8040856;108006;113152
1029;1;4;1;1029010401;2; ; ; ; ; ; ; ; ; ;4; ; ; ; ; ; ; ; ;19;B-;Montevideo Bajo;467,8040856; ; 
1029;1;5;1;1029010501;2; ; ; ; ; ; ; ; ; ;4; ; ; ; ; ; ; ; ;19;B-;Montevideo Bajo;467,8040856; ; 
1029;2;1;1;1029020101;2; ; ; ; ; ; ; ; ; ;7;5; ; ; ; ; ; ; ;19;B-;Montevideo Bajo;467,8040856; ; 
1029;2;2;1;1029020201;12;0;0;2;2; ; ;2; ;3; ; ; ; ; ; ; ; ; ;19;B-;Montevideo Bajo;467,8040856; ; 
1030;1;1;1;1030010101;2; ; ; ; ; ; ; ; ; ;10;3; ; ; ; ; ; ; ;32;M-;Montevideo Bajo;389,5893968; ; 
1030;1;2;1;1030010201;2; ; ; ; ; ; ; ; ; ;6;3; ; ; ; ; ; ; ;32;M-;Montevideo Bajo;389,5893968; ; 
1030;1;3;1;1030010301;2; ; ; ; ; ; ; ; ; ;3; ; ; ; ; ; ; ; ;32;M-;Montevideo Bajo;389,5893968; ; 
1030;1;4;1;1030010401;2; ; ; ; ; ; ; ; ; ;3; ; ; ; ; ; ; ; ;32;M-;Montevideo Bajo;389,5893968; ; 
1030;1;5;1;1030010501;2; ; ; ; ; ; ; ; ; ;4; ; ; ; ; ; ; ; ;32;M-;Montevideo Bajo;389,5893968; ; 
1030;1;6;1;1030010601;2; ; ; ; ; ; ; ; ; ;4; ; ; ; ; ; ; ; ;32;M-;Montevideo Bajo;389,5893968; ; 
1030;1;7;1;1030010701;2; ; ; ; ; ; ; ; ; ;4; ; ; ; ; ; ; ; ;32;M-;Montevideo Bajo;389,5893968; ; 
1031;1;1;1;1031010101;51;3;0; ; ; ; ; ; ; ; ; ; ; ; ; ;163;15;3;32;M-;Zona III - Cuenca Cerro Norte Bajo;199,8257884;113236;116045
1031;1;1;2;1031010102;51;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ;427;3;3;32;M-;Zona III - Cuenca Cerro Norte Bajo;199,8257884;116045;113038
1031;1;1;3;1031010103;2; ; ; ; ; ; ; ; ; ;6;3; ; ; ; ; ; ; ;32;M-;Zona III - Cuenca Cerro Norte Bajo;199,8257884; ; 
1031;1;2;1;1031010201;2; ; ; ; ; ; ; ; ; ;6;3; ; ; ; ; ; ; ;32;M-;Zona III - Cuenca Cerro Norte Bajo;199,8257884; ; 
1031;1;2;2;1031010202;51;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ;427;20;3;32;M-;Zona III - Cuenca Cerro Norte Bajo;199,8257884;116009;120034
1031;1;2;3;1031010203;51;0;4; ; ; ; ; ; ; ; ; ; ; ; ; ;137;15;3;32;M-;Zona III - Cuenca Cerro Norte Bajo;199,8257884;120034;107106
1031;1;3;1;1031010301;51;4;0; ; ; ; ; ; ; ; ; ; ; ; ; ;137;10;1;32;M-;Zona III - Cuenca Cerro Norte Bajo;199,8257884;107106;113236
1031;1;3;2;1031010302;2; ; ; ; ; ; ; ; ; ;5;3; ; ; ; ; ; ; ;32;M-;Zona III - Cuenca Cerro Norte Bajo;199,8257884; ; 
1032;1;1;1;1032010101;2; ; ; ; ; ; ; ; ; ;5;5; ; ; ; ; ; ; ;23;B+;Montevideo Bajo;627,1948052; ; 
1032;1;1;2;1032010102;51;0;3; ; ; ; ; ; ; ; ; ; ; ; ; ;126;5;1;23;B+;Montevideo Bajo;627,1948052;113012;105101
1032;1;2;1;1032010201;51;2;0; ; ; ; ; ; ; ; ; ; ; ; ; ;D2;15;5;23;B+;Montevideo Bajo;627,1948052;105101;113030
1032;1;2;2;1032010202;51;0;3; ; ; ; ; ; ; ; ; ; ; ; ; ;185;10;15;23;B+;Montevideo Bajo;627,1948052;113030;113010
